CATID,ellip,z_spec,Mstar,M_r,r_e,VSIGMA_RE,VSIGMA_RE_ERR,SIGMA_RE,SIGMA_RE_ERR,TYPE
375560,0.2451000065,0.0498499982,11.1099996567,-22.3400001526,6.1399998665,0.3438979983,0.0046233032,215.5954437256,1.27772367,0.5
375615,0.1404000074,0.0779099986,10.6999998093,-21.75,2.4400000572,0.2565012574,0.010209797,109.1832351685,1.4704447985,0.5
376703,0.1493999958,0.0520399995,10.7399997711,-21.3500003815,3.2200000286,0.0721594244,0.0071335682,193.7250061035,1.580783844,0.0
377710,0.1418000013,0.0553099997,10.029999733,-19.8400001526,1.25,,,112.2675857544,2.4619483948,0.5
380734,0.0456999987,0.0724299997,10.9600000381,-21.9699993134,3.2300000191,0.1008583233,0.0091258753,193.0433349609,2.4478387833,0.0
381219,0.3610000014,0.0497400016,10.3199996948,-20.4799995422,3.75,0.3823751211,0.0108400956,135.9769897461,1.7154656649,0.5
381229,0.183799997,0.0499899983,10.4899997711,-20.8999996185,4.3000001907,0.132367745,0.0089630596,151.8538970947,1.6839256287,0.0
382154,0.242899999,0.0568500012,10.8000001907,-21.5,3.0199999809,0.0823855847,0.0068638064,191.5354156494,1.8053430319,0.0
382505,0.1039000005,0.0560699999,10.6300001144,-21.2299995422,2.7000000477,0.2465195954,0.0086131068,121.970664978,1.2297224998,0.0
382563,0.1318999976,0.0239599999,9.8500003815,-19.6000003815,2.0799999237,0.0895971283,0.0078753326,77.5963516235,0.7082535625,0.5
386673,0.3601000011,0.0582400002,11.0600004196,-22.2399997711,4.3899998665,0.3706261218,0.0065720067,247.0635681152,2.2538454533,0.5
386722,0.3824999928,0.0513999984,10.2899999619,-20.6000003815,2.3699998856,0.1619776785,0.0209303256,103.9219055176,2.2441534996,0.5
387553,0.079400003,0.0514199995,10.8400001526,-21.6299991608,3.7000000477,0.1807198673,0.0059378785,214.7199554443,1.5351004601,0.5
388513,0.1105000004,0.0840599984,10.9300003052,-21.9300003052,3.0799999237,0.2713760734,0.0075836503,175.7896575928,1.4678705931,0.5
417440,0.0195000004,0.0506200008,11.2100000381,-22.4899997711,4.5100002289,0.1272076368,0.0034588424,205.229019165,1.3206880093,0.0
417486,0.0120000001,0.0500399992,10.0900001526,-19.8099994659,2.8699998856,0.2289280444,0.026666617,63.1101760864,2.084846735,0.5
417580,0.1996999979,0.0395999998,9.9300003052,-19.5400009155,3.0699999332,0.3932292163,0.0208600387,76.3239440918,1.7916982174,0.5
422389,0.0593999997,0.0508400016,10.4300003052,-20.6599998474,3.1099998951,0.1960446537,0.0093003009,95.6476211548,1.2326641083,0.0
422406,0.2074999958,0.0505199991,10.0500001907,-20.0300006866,1.2000000477,,,83.2005004883,1.5729342699,0.0
463148,0.1324999928,0.0537099987,10.0200004578,-20.2900009155,2.4500000477,0.3326963484,0.0320532471,74.5339355469,2.7676224709,0.5
485883,0.2779999971,0.0549100004,10.5399999619,-21.0400009155,3.4400000572,0.1384107918,0.0085530896,185.9225311279,1.5705362558,0.5
485921,0.0432000011,0.0552500002,10.4799995422,-20.9899997711,2.1400001049,0.1283147037,0.0082790153,119.6625213623,1.4144316912,0.0
492411,0.0419000015,0.0556299984,10.6999998093,-21.3700008392,1.8799999952,0.1098000035,0.0085141268,123.9730758667,1.0368945599,0.0
492486,0.0883999988,0.0554100014,10.1199998856,-19.9500007629,1.1000000238,,,160.1258087158,2.3760962486,0.0
492690,0.2410999984,0.0302200001,10.2299995422,-20.4400005341,2.0199999809,0.1026985273,0.0054766652,125.1198959351,0.9040212035,0.5
492941,0.1773000062,0.0557399988,10.3500003815,-20.6000003815,3.4500000477,0.2642186582,0.0147581948,120.1988830566,2.1590371132,0.0
493028,0.1289999932,0.0503100008,10.720000267,-21.5,5.3699998856,0.1700854152,0.0066389139,133.3571929932,1.3106126785,0.5
497035,0.3693999946,0.0768399984,11.1999998093,-22.5499992371,4.4299998283,0.5488328934,0.0062243883,226.3887023926,1.4574811459,0.5
504879,0.0555999987,0.05418,10.4300003052,-20.8600006104,1.8099999428,0.154264167,0.0064921016,127.6147232056,1.1364260912,0.5
505765,0.1903000027,0.0804499984,10.9099998474,-21.9599990845,2.0499999523,0.2850548625,0.0072626546,183.4499511719,1.5395791531,0.0
506119,0.1856999993,0.0836199969,11.0699996948,-22.2399997711,3.7400000095,0.1093136221,0.0074058063,224.2990112305,2.3306264877,0.0
507721,0.0441000015,0.0772200003,11.3900003433,-23.0699996948,5.0399999619,0.1672291458,0.004264785,196.9945831299,1.615884304,0.0
508180,0.2984000146,0.0555399992,11.0600004196,-22.2099990845,5.4200000763,0.2165078223,0.0060271556,210.2044830322,1.6458117962,0.5
508268,0.3404000103,0.0548399985,10.25,-20.5400009155,7.5799999237,0.2324965,0.0176558103,111.2029647827,3.537681818,0.5
